          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
FLUORENE+BIN 6	      4379.7    -1.95933    0.999999   0.0225569  0.00262086
FLUORENE+BIN 7	     4399.38    -1.95922    0.999999   0.0226737  0.00263474
FLUORENE+BIN 8	     4384.06     -1.9593    0.999999   0.0225828  0.00262393
FLUORENE+BIN 9	     4330.43     -1.9596    0.999999    0.022265  0.00258616
FLUORENE+BIN10	     4240.74    -1.96011    0.999999   0.0217357  0.00252328
FLUORENE+BIN11	     4119.89    -1.96079    0.999999   0.0210268  0.00243915
FLUORENE+BIN12	     3974.14    -1.96162    0.999999   0.0201784  0.00233859
FLUORENE+BIN13	      3810.1    -1.96257           1   0.0192319  0.00222659
FLUORENE+BIN14	     3641.01    -1.96356           1   0.0182658  0.00211244
FLUORENE+BIN15	     3458.49    -1.96464           1   0.0172337  0.00199071
FLUORENE+BIN16	     3274.01    -1.96575           1   0.0162019  0.00186923
FLUORENE+BIN17	     3091.28    -1.96688           1   0.0151912  0.00175047
FLUORENE+BIN18	     2913.11    -1.96799           1   0.0142167  0.00163616
FLUORENE+BIN19	      2741.5    -1.96909           1   0.0132882  0.00152747
FLUORENE+BIN20	     2577.78    -1.97016           1   0.0124119  0.00142506
FLUORENE+BIN21	     2422.76     -1.9712           1   0.0115908  0.00132927
FLUORENE+BIN22	     2276.81    -1.97219           1   0.0108253  0.00124013
FLUORENE+BIN23	     2140.01    -1.97315           1   0.0101147  0.00115751
FLUORENE+BIN24	     2012.21    -1.97406           1  0.00945693  0.00108115
C6H5CH2C6H5+BIN 1	     4451.41    -1.95893    0.999999   0.0229832  0.00267156
C6H5CH2C6H5+BIN 2	     4297.12    -1.95979    0.999999   0.0220681  0.00256276
C6H5CH2C6H5+BIN 3	     4262.35    -1.95998    0.999999    0.021863   0.0025384
C6H5CH2C6H5+BIN 4	     4308.13    -1.95973    0.999999   0.0221331  0.00257049
C6H5CH2C6H5+BIN 5	     4374.35    -1.95936    0.999999   0.0225252  0.00261708
C6H5CH2C6H5+BIN 6	        4425    -1.95907    0.999999    0.022826  0.00265285
C6H5CH2C6H5+BIN 7	     4446.53    -1.95895    0.999999   0.0229541   0.0026681
C6H5CH2C6H5+BIN 8	     4432.63    -1.95903    0.999999   0.0228714  0.00265826
C6H5CH2C6H5+BIN 9	     4379.86    -1.95933    0.999999   0.0225579  0.00262097
C6H5CH2C6H5+BIN10	     4290.47    -1.95983    0.999999   0.0220289   0.0025581
C6H5CH2C6H5+BIN11	     4169.41    -1.96051    0.999999   0.0213167  0.00247355
C6H5CH2C6H5+BIN12	        4023    -1.96134    0.999999    0.020462   0.0023722
C6H5CH2C6H5+BIN13	     3857.93    -1.96229    0.999999    0.019507  0.00225912
C6H5CH2C6H5+BIN14	     3687.57    -1.96328           1   0.0185309  0.00214374
C6H5CH2C6H5+BIN15	     3503.51    -1.96437           1   0.0174873  0.00202059
C6H5CH2C6H5+BIN16	     3317.34    -1.96549           1   0.0164432  0.00189762
C6H5CH2C6H5+BIN17	     3132.82    -1.96662           1     0.01542  0.00177733
C6H5CH2C6H5+BIN18	     2952.81    -1.96774           1   0.0144329   0.0016615
C6H5CH2C6H5+BIN19	     2779.35    -1.96885           1   0.0134921  0.00155132
C6H5CH2C6H5+BIN20	     2613.81    -1.96992           1    0.012604  0.00144749
C6H5CH2C6H5+BIN21	     2457.01    -1.97097           1   0.0117715  0.00135033
C6H5CH2C6H5+BIN22	     2309.34    -1.97197           1   0.0109953  0.00125991
C6H5CH2C6H5+BIN23	      2170.9    -1.97293           1   0.0102746  0.00117608
C6H5CH2C6H5+BIN24	     2041.52    -1.97385           1  0.00960729  0.00109859
C14H10+BIN 1	     4614.43    -1.95803    0.999999   0.0239587  0.00278771
C14H10+BIN 2	     4469.41    -1.95883    0.999999   0.0230905  0.00268432
C14H10+BIN 3	     4446.48    -1.95896    0.999999   0.0229538  0.00266806
C14H10+BIN 4	     4506.02    -1.95862    0.999999    0.023309  0.00271033
C14H10+BIN 5	     4585.99    -1.95818    0.999999   0.0237879  0.00276736
C14H10+BIN 6	     4648.45    -1.95784    0.999999   0.0241634   0.0028121
C14H10+BIN 7	     4679.42    -1.95767    0.999999   0.0243501  0.00283436
C14H10+BIN 8	     4672.82    -1.95771    0.999999   0.0243102  0.00282961
C14H10+BIN 9	     4624.57    -1.95797    0.999999   0.0240196  0.00279497
C14H10+BIN10	     4536.94    -1.95845    0.999999   0.0234939  0.00273234
C14H10+BIN11	      4415.1    -1.95913    0.999999   0.0227671  0.00264585
C14H10+BIN12	     4265.66    -1.95997    0.999999   0.0218825  0.00254071
C14H10+BIN13	     4095.68    -1.96093    0.999999   0.0208854  0.00242239
C14H10+BIN14	      3919.2    -1.96194    0.999999   0.0198604  0.00230094
C14H10+BIN15	     3727.66    -1.96305           1   0.0187597  0.00217077
C14H10+BIN16	     3533.21     -1.9642           1   0.0176549  0.00204035
C14H10+BIN17	     3339.92    -1.96535           1   0.0165692  0.00191245
