          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
BIN13+BIN22	      6647.4    -1.33131    0.999727      998051     1.69626    0.392914
BIN13+BIN23	     6483.34    -1.32656    0.999722      999024     1.70391    0.396749
BIN13+BIN24	     6426.61     -1.3249     0.99972      999512     1.70656    0.398093
BIN14+BIN14	       13703       -1.48    0.999856       1e+06     1.38785    0.273026
BIN14+BIN15	     10703.6    -1.42616    0.999816 1.33333e+06     1.51481     0.31616
BIN14+BIN16	     8382.09    -1.37632    0.999773     1.6e+06     1.61694    0.356467
BIN14+BIN17	     6661.04     -1.3317    0.999727 1.77778e+06     1.69563    0.392599
BIN14+BIN18	     5419.84    -1.29306    0.999683 1.88235e+06     1.75409    0.423745
BIN14+BIN19	     4540.69    -1.26076    0.999642 1.93939e+06     1.79622    0.449596
BIN14+BIN20	     3926.89    -1.23477    0.999607 1.96923e+06     1.82577    0.470232
BIN14+BIN21	     3505.79    -1.21475    0.999577  1.9845e+06     1.84595    0.486001
BIN14+BIN22	     3225.32    -1.20017    0.999555 1.99222e+06     1.85925    0.497403
BIN14+BIN23	     3048.99    -1.19041    0.999539  1.9961e+06     1.86752    0.505002
BIN14+BIN24	     2951.42    -1.18479     0.99953 1.99805e+06     1.87205    0.509365
BIN15+BIN15	      7688.6    -1.35934    0.999756       2e+06     1.64831     0.37023
BIN15+BIN16	     5505.73    -1.29597    0.999687 2.66667e+06        1.75     0.42141
BIN15+BIN17	     3994.55     -1.2378    0.999611     3.2e+06     1.82252    0.467831
BIN15+BIN18	     2974.34    -1.18613    0.999532 3.55556e+06     1.87099     0.50833
BIN15+BIN19	     2293.13    -1.14168    0.999455 3.76471e+06     1.90135    0.542425
BIN15+BIN20	     1839.49    -1.10472    0.999383 3.87879e+06     1.91908    0.570174
BIN15+BIN21	      1537.5    -1.07506    0.999319 3.93846e+06     1.92865    0.591995
BIN15+BIN22	     1337.36    -1.05223    0.999267 3.96899e+06     1.93333    0.608504
BIN15+BIN23	     1206.97    -1.03556    0.999226 3.98444e+06     1.93533    0.620395
BIN15+BIN24	     1125.66    -1.02428    0.999198  3.9922e+06     1.93603    0.628358
BIN16+BIN16	     3574.21    -1.21814    0.999582       4e+06     1.84268    0.483335
BIN16+BIN17	      2341.2    -1.14519    0.999461 5.33333e+06     1.89931     0.53976
BIN16+BIN18	     1574.61    -1.07899    0.999328     6.4e+06     1.92761    0.589131
BIN16+BIN19	      1101.5    -1.02078    0.999189 7.11111e+06     1.93614    0.630815
BIN16+BIN20	     807.829    -0.97118    0.999051 7.52941e+06     1.93256    0.664911
BIN16+BIN21	     623.216   -0.930243    0.998923 7.75758e+06     1.92283    0.691995
BIN16+BIN22	     505.591   -0.897574    0.998809 7.87692e+06     1.91106    0.712889
BIN16+BIN23	     430.059    -0.87249    0.998714 7.93798e+06     1.89978    0.728484
BIN16+BIN24	     381.824   -0.854145    0.998641 7.96887e+06     1.89039    0.739639
BIN17+BIN17	     1375.67    -1.05684    0.999278       8e+06     1.93257    0.605193
BIN17+BIN18	     829.007    -0.97529    0.999064 1.06667e+07     1.93321    0.662138
BIN17+BIN19	     521.525   -0.902403    0.998826    1.28e+07     1.91301    0.709841
BIN17+BIN20	     346.534   -0.839249    0.998578 1.42222e+07     1.88208    0.748538
BIN17+BIN21	     244.604   -0.786148    0.998331 1.50588e+07     1.84788    0.779086
BIN17+BIN22	     183.548    -0.74281      0.9981 1.55152e+07     1.81521     0.80263
BIN17+BIN23	     145.998   -0.708527    0.997894 1.57538e+07     1.78671    0.820355
BIN17+BIN24	     122.468   -0.682347    0.997722  1.5876e+07     1.76356     0.83335
BIN18+BIN18	     446.672   -0.878352    0.998737     1.6e+07     1.90258    0.724875
BIN18+BIN19	     252.148   -0.790755    0.998354 2.13333e+07     1.85111     0.77651
BIN18+BIN20	     151.565   -0.714117    0.997929    2.56e+07     1.79151     0.81752
BIN18+BIN21	     97.8385   -0.649071    0.997482 2.84444e+07     1.73256    0.849184
BIN18+BIN22	     67.9423    -0.59541    0.997038 3.01176e+07     1.67937    0.873098
BIN18+BIN23	     50.5914   -0.552339    0.996619 3.10303e+07      1.6343    0.890839
BIN18+BIN24	     40.1393   -0.518721    0.996247 3.15077e+07     1.59793    0.903782
BIN19+BIN19	     128.313   -0.689281    0.997769     3.2e+07      1.7698    0.829954
BIN19+BIN20	     70.2308   -0.600267    0.997081 4.26667e+07     1.68433    0.871017
BIN19+BIN21	     41.8292     -0.5247    0.996317    5.12e+07     1.60446    0.901538
BIN19+BIN22	     27.1767   -0.462415    0.995514 5.68889e+07     1.53515    0.923683
BIN19+BIN23	      19.176   -0.412414    0.994717 6.02353e+07     1.47796     0.93949
BIN19+BIN24	     14.5697   -0.373236    0.993968 6.20606e+07     1.43251    0.950648
BIN20+BIN20	     35.4643   -0.500798     0.99603     6.4e+07     1.57817    0.910358
BIN20+BIN21	     19.8162   -0.417111    0.994799 8.53333e+07     1.48338     0.93808
BIN20+BIN22	     12.2862   -0.349015    0.993437   1.024e+08     1.40423    0.957007
BIN20+BIN23	     8.39571   -0.295153    0.992017 1.13778e+08     1.34106    0.969669
BIN20+BIN24	     6.24637   -0.253541    0.990617 1.20471e+08      1.2922    0.978047
BIN21+BIN21	     10.6057    -0.32817    0.992931    1.28e+08     1.37981     0.96215
BIN21+BIN22	     6.42819    -0.25757    0.990767 1.70667e+08     1.29693     0.97729
BIN21+BIN23	     4.36614   -0.203395    0.988406   2.048e+08     1.23351    0.986501
BIN21+BIN24	     3.26512   -0.162902    0.985977 2.27556e+08      1.1864    0.991991
BIN22+BIN22	     3.89669   -0.187522     0.98754    2.56e+08     1.21501    0.988797
BIN22+BIN23	     2.69296   -0.136152    0.983876 3.41333e+08     1.15547    0.994943
BIN22+BIN24	     2.06952  -0.0997177    0.979963   4.096e+08     1.11361    0.998062
BIN23+BIN23	     1.92374  -0.0896379    0.978552    5.12e+08     1.10209    0.998732
BIN23+BIN24	     1.53872  -0.0588977    0.972684 6.82667e+08     1.06708     1.00022
BIN24+BIN24	     1.28456  -0.0341411    0.964439   1.024e+09     1.03898     1.00073
