Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_11,Group_12,Group_13,Group_14,Group_15,Group_16,Group_17,Group_18,Group_19,Group_20,Group_21,Group_22,Group_23,Group_24,Group_25
120049851052985.44,35999770285161.55,20292939992311.07,14200548613606.688,974824253477.4485,134404773312.99234,85091381410.43298,86747597616.66556,81907916993.17345,68327661662.12995,49875987330.2835,30895219146.287537,16499750146.8493,7862221863.733189,3356780133.6978183,1292423154.6604319,457459353.19615185,159494698.14401463,42496042.37977775,7986645.471003268,1046311.4705237822,94557.11452203187,5678.169537128691,218.6511788325977,5.274641059612154
119842554991198.77,35942352750980.875,20268030926037.066,14182593828813.121,726150693609.8058,59038997649.336174,28955907155.868034,34062949875.741096,38713042396.80731,38999588703.28877,33846785655.728447,23749387900.16197,13901905142.280424,7313971461.732545,3615359929.3417263,1729261085.6911454,942900687.3932873,380393751.01485837,107637328.03416465,21025232.333989102,2760438.5790681904,238272.0029524474,12910.324163553194,416.928636736735,7.691939360525316
119953214595237.33,35972632289130.08,20280725004098.203,14194575239973.66,914085589943.8351,106277520391.33963,62823161251.725174,65514635056.70124,64043123433.43765,55823720727.47762,42546189259.52968,27071839132.118374,14701381216.075493,7181340289.775135,3249985201.6178927,1411515189.077236,663416512.329233,285504986.61247855,89688287.97946388,19932341.02140385,3036766.7655343455,310444.0247260487,20470.616950391915,839.1956630686402,20.917486589552944
120000689473099.86,35986278685631.55,20287875418130.258,14194650268744.8,954114167207.1023,129881361636.23526,81326648222.77408,83370339650.12729,79691042243.6519,67814468094.74684,50681808016.12205,32012203465.441532,17321134848.90965,8302392276.166369,3530011322.023941,1331689726.1833565,451018248.7503102,140965271.9346891,34954078.35313438,6047599.596795457,727592.5788563035,60862.0740384692,3431.964122817263,126.45823224765185,2.9846859579327547
119828164369459.28,35937268307792.445,20265992045639.79,14185718908468.047,969610540941.8816,127322109481.64322,80681724104.8302,81395668590.97742,76222291546.29181,65072107670.82659,49404811755.60547,31341969803.60138,16838619106.91103,8026264160.342203,3462609560.9339495,1382195305.5132928,526644722.1177516,211137869.2076703,61494173.9717927,12643546.85414131,1804484.1941989516,176035.5979277982,11336.646593624915,466.53066358550086,12.001693065001229
120015123326545.8,35991463584179.18,20289364840185.25,14197351999252.584,858834237354.1697,99687452212.28146,58731608266.23121,63656869647.370834,64713693248.84105,57633969580.64925,44511093471.526344,28886920441.043076,16058622676.315792,7954491554.159266,3550795689.221663,1449196128.5626905,568002680.9346391,213994444.52113193,57395158.761371,10810429.698011663,1418693.3283804338,128222.85875368283,7694.6306207452935,296.11447416928746,7.150219462551367
119643024029119.36,35885776618205.82,20244380759846.188,14167547516165.027,901098194321.487,99101045315.30379,56629370897.9935,58065346587.44408,57102432099.50249,52651547232.91042,43528249061.574715,29323397384.54383,16274901476.182356,7914886116.9151535,3514287625.238984,1493821289.1907234,710918975.3711286,315113028.9416556,103477645.2830308,24365321.481172908,3960275.615299655,436713.47142501763,31645.670503226153,1457.1081568576383,41.80313936890252
119789597636694.12,35927515482152.625,20262065260862.535,14180751942682.127,866116842238.5715,99258872887.90578,59025226782.32095,62873465303.872154,63009244886.10096,57317758401.00836,46116606597.81047,30736782764.24647,17198742483.133205,8466561722.121282,3739360376.3578577,1513608556.3667986,591915212.0339646,227204260.42156565,62436466.488707215,12076492.181592848,1628401.440574489,151826.8563254856,9500.366508294755,387.52861725579487,10.121205484165639
119630821560481.0,35880515538771.15,20242038441009.805,14167170507869.615,701840297252.1262,63944566062.84526,32842428109.99539,38168320143.296524,43336692195.04964,45209197451.02224,41795004075.00076,31256233944.726242,19053123290.839428,9950432580.728628,4536353684.888178,1829600381.2091298,677958037.9439305,221803089.55984443,49850712.223645456,7631499.867093952,811906.146360673,60991.95189337498,3187.1987004053526,113.36158099979997,2.6896239621937834
119885740487095.61,35953611231181.07,20273387212500.79,14185345807002.014,646833060751.1914,54285393634.6261,25066210256.17767,30484308844.062237,37193655974.42012,39835790802.184715,36634540594.327965,27438059538.80795,17045788136.892084,9192353394.251478,4360888188.049408,1839959792.4462726,738799161.0921915,241165414.436159,53366680.89102542,8070674.423154005,849095.9451142155,62821.97428668868,3195.455460625349,108.47625415887848,2.400740396541023
119981202895066.7,35978623343997.7,20283893849654.285,14195672318485.371,903452428001.5522,107211736459.59311,64114887305.02458,67285966420.06637,66131348913.94115,58009453310.862946,44568549197.75441,28613184905.511623,15644376810.570742,7634908345.872463,3398422889.347537,1417752130.9559379,606194638.2533028,248045095.08061472,74108990.24227822,15749682.709718956,2322234.6493134596,233410.90245878778,15426.672599454763,648.7773741125455,17.05583244266427
119649377708204.83,35886302474211.79,20245011812209.477,14164659288920.143,643612916287.4976,53477780687.50782,25140160482.24372,30264686070.704758,36435701128.79057,39990007385.16818,38605070088.08668,29975989334.462112,18887506831.28917,10152745065.85,4739146216.379492,1941783618.4578986,729215029.0688938,225978549.56884557,47215359.612772845,6611313.361075386,640309.6725146086,44036.38890431174,2128.0155329303193,70.83849963335248,1.5919671467565526
119756182816842.58,35916743088015.43,20257659940019.523,14179458070360.58,872450434458.8544,108158335435.25922,64264226318.40642,67539979826.39227,67753261396.23256,62305738943.169754,51060715500.7988,34765150541.25364,19754812085.140217,9691188936.736944,4099279390.4585514,1482624352.563439,461326092.68380105,120687420.04464078,26087963.845752504,3846042.9063646905,391158.0001535444,27885.040839701203,1366.323437629372,44.949573355153724,0.975805156938029
119690916165977.03,35897707340185.79,20249142267260.35,14173964865659.613,975593689627.2533,118855907773.81158,76659968883.444,75825759625.06873,69016077546.06816,58816382999.87714,45071024197.52785,28433844863.797333,15189910241.107037,7449352572.330071,3477332985.596611,1559684854.871058,705992272.3564011,306690216.26794,95670348.7519915,20645305.13471946,2975783.0680901962,278538.8546696224,16183.742389477256,557.635798130829,10.946609768006853
