Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN10BJliq          1.000000e+04        1.999000e+03        0.000000e+00        1.999000e-01        1.221250e+05        1.287500e+03        2.027812e-22        1.575000e-25        6.700296e-09        6.700296e-09        6.700296e-09        3.000000            0.0                 10                  
BIN10BJaggI         1.000000e+04        1.999000e+03        0.000000e+00        1.999000e-01        1.221250e+05        1.287500e+03        2.027812e-22        1.575000e-25        6.700296e-09        1.336155e-08        2.272035e-09        1.800000            30.0                10                  
BIN10CJ             1.000000e+04        5.000000e+02        0.000000e+00        5.000000e-02        1.206140e+05        1.287500e+03        2.002723e-22        1.555513e-25        6.672548e-09        6.672548e-09        6.672548e-09        3.000000            1.0                 10                  
BIN10CJliq          1.000000e+04        5.000000e+02        0.000000e+00        5.000000e-02        1.206140e+05        1.287500e+03        2.002723e-22        1.555513e-25        6.672548e-09        6.672548e-09        6.672548e-09        3.000000            0.0                 10                  
BIN10CJaggI         1.000000e+04        5.000000e+02        0.000000e+00        5.000000e-02        1.206140e+05        1.287500e+03        2.002723e-22        1.555513e-25        6.672548e-09        1.326945e-08        2.272035e-09        1.800000            29.6                10                  
BIN11AJ             2.000000e+04        1.099900e+04        0.000000e+00        5.499500e-01        2.513070e+05        1.325000e+03        4.172802e-22        3.149284e-25        8.441204e-09        8.441204e-09        8.441204e-09        3.000000            1.0                 11                  
BIN11AJliq          2.000000e+04        1.099900e+04        0.000000e+00        5.499500e-01        2.513070e+05        1.325000e+03        4.172802e-22        3.149284e-25        8.441204e-09        8.441204e-09        8.441204e-09        3.000000            0.0                 11                  
BIN11AJaggI         2.000000e+04        1.099900e+04        0.000000e+00        5.499500e-01        2.513070e+05        1.325000e+03        4.172802e-22        3.149284e-25        8.441204e-09        1.995115e-08        2.272035e-09        1.800000            61.8                11                  
BIN11BJ             2.000000e+04        3.999000e+03        0.000000e+00        1.999500e-01        2.442510e+05        1.325000e+03        4.055641e-22        3.060861e-25        8.361452e-09        8.361452e-09        8.361452e-09        3.000000            1.0                 11                  
BIN11BJliq          2.000000e+04        3.999000e+03        0.000000e+00        1.999500e-01        2.442510e+05        1.325000e+03        4.055641e-22        3.060861e-25        8.361452e-09        8.361452e-09        8.361452e-09        3.000000            0.0                 11                  
BIN11BJaggI         2.000000e+04        3.999000e+03        0.000000e+00        1.999500e-01        2.442510e+05        1.325000e+03        4.055641e-22        3.060861e-25        8.361452e-09        1.963797e-08        2.272035e-09        1.800000            60.0                11                  
BIN11CJ             2.000000e+04        1.000000e+03        0.000000e+00        5.000000e-02        2.412280e+05        1.325000e+03        4.005446e-22        3.022978e-25        8.326813e-09        8.326813e-09        8.326813e-09        3.000000            1.0                 11                  
BIN11CJliq          2.000000e+04        1.000000e+03        0.000000e+00        5.000000e-02        2.412280e+05        1.325000e+03        4.005446e-22        3.022978e-25        8.326813e-09        8.326813e-09        8.326813e-09        3.000000            0.0                 11                  
BIN11CJaggI         2.000000e+04        1.000000e+03        0.000000e+00        5.000000e-02        2.412280e+05        1.325000e+03        4.005446e-22        3.022978e-25        8.326813e-09        1.950257e-08        2.272035e-09        1.800000            59.3                11                  
BIN12AJ             4.000000e+04        2.099900e+04        0.000000e+00        5.249750e-01        5.016070e+05        1.362500e+03        8.328883e-22        6.112942e-25        1.052973e-08        1.052973e-08        1.052973e-08        3.000000            1.0                 12                  
BIN12AJliq          4.000000e+04        2.099900e+04        0.000000e+00        5.249750e-01        5.016070e+05        1.362500e+03        8.328883e-22        6.112942e-25        1.052973e-08        1.052973e-08        1.052973e-08        3.000000            0.0                 12                  
BIN12AJaggI         4.000000e+04        2.099900e+04        0.000000e+00        5.249750e-01        5.016070e+05        1.362500e+03        8.328883e-22        6.112942e-25        1.052973e-08        2.929024e-08        2.272035e-09        1.800000            123.3               12                  
BIN12BJ             4.000000e+04        7.999000e+03        0.000000e+00        1.999750e-01        4.885030e+05        1.362500e+03        8.111299e-22        5.953247e-25        1.043723e-08        1.043723e-08        1.043723e-08        3.000000            1.0                 12                  
BIN12BJliq          4.000000e+04        7.999000e+03        0.000000e+00        1.999750e-01        4.885030e+05        1.362500e+03        8.111299e-22        5.953247e-25        1.043723e-08        1.043723e-08        1.043723e-08        3.000000            0.0                 12                  
BIN12BJaggI         4.000000e+04        7.999000e+03        0.000000e+00        1.999750e-01        4.885030e+05        1.362500e+03        8.111299e-22        5.953247e-25        1.043723e-08        2.886264e-08        2.272035e-09        1.800000            120.1               12                  
BIN12CJ             4.000000e+04        2.000000e+03        0.000000e+00        5.000000e-02        4.824560e+05        1.362500e+03        8.010892e-22        5.879554e-25        1.039398e-08        1.039398e-08        1.039398e-08        3.000000            1.0                 12                  
BIN12CJliq          4.000000e+04        2.000000e+03        0.000000e+00        5.000000e-02        4.824560e+05        1.362500e+03        8.010892e-22        5.879554e-25        1.039398e-08        1.039398e-08        1.039398e-08        3.000000            0.0                 12                  
BIN12CJaggI         4.000000e+04        2.000000e+03        0.000000e+00        5.000000e-02        4.824560e+05        1.362500e+03        8.010892e-22        5.879554e-25        1.039398e-08        2.866360e-08        2.272035e-09        1.800000            118.6               12                  
BIN13AJ             8.000000e+04        3.999900e+04        0.000000e+00        4.999875e-01        1.001199e+06        1.400000e+03        1.662431e-21        1.187451e-24        1.313829e-08        1.313829e-08        1.313829e-08        3.000000            1.0                 13                  
BIN13AJliq          8.000000e+04        3.999900e+04        0.000000e+00        4.999875e-01        1.001199e+06        1.400000e+03        1.662431e-21        1.187451e-24        1.313829e-08        1.313829e-08        1.313829e-08        3.000000            0.0                 13                  
BIN13AJaggI         8.000000e+04        3.999900e+04        0.000000e+00        4.999875e-01        1.001199e+06        1.400000e+03        1.662431e-21        1.187451e-24        1.313829e-08        4.300082e-08        2.272035e-09        1.800000            246.1               13                  
BIN13BJ             8.000000e+04        1.599900e+04        0.000000e+00        1.999875e-01        9.770070e+05        1.400000e+03        1.622262e-21        1.158758e-24        1.303161e-08        1.303161e-08        1.303161e-08        3.000000            1.0                 13                  
BIN13BJliq          8.000000e+04        1.599900e+04        0.000000e+00        1.999875e-01        9.770070e+05        1.400000e+03        1.622262e-21        1.158758e-24        1.303161e-08        1.303161e-08        1.303161e-08        3.000000            0.0                 13                  
BIN13BJaggI         8.000000e+04        1.599900e+04        0.000000e+00        1.999875e-01        9.770070e+05        1.400000e+03        1.622262e-21        1.158758e-24        1.303161e-08        4.242044e-08        2.272035e-09        1.800000            240.2               13                  
BIN13CJ             8.000000e+04        4.000000e+03        0.000000e+00        5.000000e-02        9.649120e+05        1.400000e+03        1.602178e-21        1.144413e-24        1.297761e-08        1.297761e-08        1.297761e-08        3.000000            1.0                 13                  
BIN13CJliq          8.000000e+04        4.000000e+03        0.000000e+00        5.000000e-02        9.649120e+05        1.400000e+03        1.602178e-21        1.144413e-24        1.297761e-08        1.297761e-08        1.297761e-08        3.000000            0.0                 13                  
BIN13CJaggI         8.000000e+04        4.000000e+03        0.000000e+00        5.000000e-02        9.649120e+05        1.400000e+03        1.602178e-21        1.144413e-24        1.297761e-08        4.212788e-08        2.272035e-09        1.800000            237.2               13                  
BIN14AJ             1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        1.639698e-08        1.639698e-08        3.000000            1.0                 14                  
BIN14AJliq          1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        1.639698e-08        1.639698e-08        3.000000            0.0                 14                  
BIN14AJaggI         1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        6.312907e-08        2.272035e-09        1.800000            491.2               14                  
BIN14AJaggII        1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        1.713801e-08        1.313829e-08        1.800000            2.0                 14                  
